50	0.97	0.85	0.92	0.61	0.91	0.71	0.35		
100	0.96	0.81	0.89	0.57	0.87	0.67	0.34		
200	0.93	0.77	0.84	0.52	0.83	0.61	0.31		
400	0.9	0.72	0.78	0.46	0.77	0.55	0.29		
800	0.86	0.65	0.7	0.41	0.69	0.48	0.25		
